id,elderly_percentage,elderly_percentage_label
1,24.810102840013467,3
2,13.25235353822853,2
3,12.440361715855664,2
4,20.528259214839938,3
5,11.816070805060356,2
6,23.615146512071295,3
7,22.168255036860238,3
8,13.579880547500366,2
9,20.017421355829946,3
10,20.090857481693646,3
11,7.062477376718652,1
12,23.051058133591333,3
13,15.105047448957142,2
14,21.529149322154833,3
15,11.400992020612236,2
16,22.91046456992401,3
17,12.784033574683262,2
18,5.216753029605967,1
19,23.107639528385274,3
20,6.825733535722671,1
21,11.386272751808297,2
22,24.0012393410161,3
23,24.012142938751122,3
24,16.46875776246572,2
25,17.636744243395984,2
26,13.968910439566395,2
27,10.864215433961292,2
28,11.57329090739832,2
29,18.450369121540767,3
30,20.0474905887536,3
31,20.83158087451697,3
32,20.792362855891078,3
33,6.824122060973807,1
34,14.888406094051629,2
35,6.151175200332886,1
36,15.99057764647471,2
37,13.83061002746754,2
38,22.754083655165996,3
39,12.018300251041573,2
40,7.341340328552118,1
41,7.859833641056717,1
42,20.230212634349446,3
43,17.364361266325222,2
44,7.022453522455805,1
45,6.682136122299949,1
46,19.0193826291824,3
47,6.4552601272838706,1
48,21.437201185807126,3
49,19.124844543129925,3
50,6.626975612837995,1
